dataset,n_samples,n_features,n_classes,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
wine,178,13,3,4,12,166,52,adaptive_003,adaptive,adaptive,0.003,0.8975903614457831,0.8987106840765376,0.43033886263109333,0.0013255369995022193,137,0,PASS
wine,178,13,3,4,12,166,88,constant_0003,constant,constant,0.0003,0.8734939759036144,0.8732376386064393,0.7778221690053972,0.0013637299998663366,190,0,PASS
wine,178,13,3,4,12,166,88,constant_001,constant,constant,0.001,0.891566265060241,0.8918256502633805,0.5758788682982099,0.001452021002478432,157,0,PASS
wine,178,13,3,4,12,166,88,constant_003,constant,constant,0.003,0.9036144578313253,0.9039980904642558,0.4549066114367398,0.001343199000984896,115,0,PASS
wine,178,13,3,4,12,166,88,invscaling_0003,invscaling,invscaling,0.0003,0.8433734939759037,0.8425638371290546,1.0944171195795933,0.0012047920026816428,7,0,PASS
wine,178,13,3,4,12,166,88,invscaling_001,invscaling,invscaling,0.001,0.8433734939759037,0.8425638371290546,1.0784201096090194,0.0011821649968624115,17,0,PASS
wine,178,13,3,4,12,166,88,invscaling_003,invscaling,invscaling,0.003,0.8493975903614458,0.8479681652095445,0.9929156815873581,0.00124001700169174,63,0,PASS
wine,178,13,3,4,12,166,88,adaptive_0003,adaptive,adaptive,0.0003,0.8734939759036144,0.8732376386064393,0.7764848191678579,0.0014043230039533228,210,0,PASS
wine,178,13,3,4,12,166,88,adaptive_001,adaptive,adaptive,0.001,0.891566265060241,0.8918256502633805,0.5743974067959375,0.0015293399992515333,182,0,PASS
wine,178,13,3,4,12,166,88,adaptive_003,adaptive,adaptive,0.003,0.9096385542168675,0.9094768342119456,0.45332350168369967,0.0014139400009298697,140,0,PASS
wine,178,13,3,4,12,166,121,constant_0003,constant,constant,0.0003,0.8614457831325302,0.8631531531531532,0.763252690224957,0.0013870920010958798,177,0,PASS
wine,178,13,3,4,12,166,121,constant_001,constant,constant,0.001,0.8674698795180723,0.8699624060150377,0.5656804408332059,0.0013517719999072142,156,0,PASS
wine,178,13,3,4,12,166,121,constant_003,constant,constant,0.003,0.8554216867469879,0.8571669071669071,0.4561267991406507,0.0013293419979163446,117,0,PASS
