dataset,train_per_class,comparison,left_schedule,right_schedule,n_pairs,mean_delta_macro_f1,std_delta_macro_f1,paired_t_statistic,p_value,p_value_method,holm_p,holm_significant_0_05
ag_news,16,adaptive_001_minus_adaptive_01,adaptive_001,adaptive_01,10,-0.020011688802367318,0.012006651541507452,-5.270621556992622,0.0005134463009867827,scipy.stats.ttest_1samp_on_seed_deltas,0.018629836293428296,True
ag_news,16,constant_001_minus_adaptive_01,constant_001,adaptive_01,10,-0.019921235587123647,0.012024878586098632,-5.238845266424522,0.0005355836802423884,scipy.stats.ttest_1samp_on_seed_deltas,0.018745428808483594,True
ag_news,32,invscaling_001_minus_constant_01,invscaling_001,constant_01,10,-0.032586017367306375,0.02007062962384719,-5.134170511126181,0.0006161090230712446,scipy.stats.ttest_1samp_on_seed_deltas,0.020947706784422315,True
ag_news,32,invscaling_001_minus_adaptive_01,invscaling_001,adaptive_01,10,-0.03260317908766702,0.02009830733794741,-5.129800392928397,0.000619743501029808,scipy.stats.ttest_1samp_on_seed_deltas,0.020947706784422315,True
ag_news,64,constant_001_minus_optimal_builtin,constant_001,optimal_builtin,10,-0.28439064573246575,0.17921187104260547,-5.0182065536653715,0.0007208483018196195,scipy.stats.ttest_1samp_on_seed_deltas,0.023067145658227824,True
ag_news,64,adaptive_001_minus_optimal_builtin,adaptive_001,optimal_builtin,10,-0.27474978145150136,0.17756758024333638,-4.892982687659463,0.000855894781853814,scipy.stats.ttest_1samp_on_seed_deltas,0.026532738237468233,True
ag_news,64,constant_001_minus_invscaling_001,constant_001,invscaling_001,10,-0.25511501869941083,0.16665235238684956,-4.840882908954636,0.0009198958511506426,scipy.stats.ttest_1samp_on_seed_deltas,0.027596875534519276,True
ag_news,64,invscaling_001_minus_adaptive_001,invscaling_001,adaptive_001,10,0.24547415441844653,0.16508023104898162,4.702304023525686,0.0011165418391143878,scipy.stats.ttest_1samp_on_seed_deltas,0.032379713334317245,True
ag_news,64,invscaling_001_minus_optimal_builtin,invscaling_001,optimal_builtin,10,-0.02927562703305494,0.020113105691262352,-4.602852626298744,0.0012852971335502545,scipy.stats.ttest_1samp_on_seed_deltas,0.035988319739407124,True
ag_news,128,constant_001_minus_optimal_builtin,constant_001,optimal_builtin,10,-0.013795192169844572,0.010011537344095137,-4.357395524490458,0.0018304023708344563,scipy.stats.ttest_1samp_on_seed_deltas,0.04942086401253032,True
ag_news,128,adaptive_001_minus_optimal_builtin,adaptive_001,optimal_builtin,10,-0.013446297555787957,0.009968966756006156,-4.265329337870115,0.0020946544394810545,scipy.stats.ttest_1samp_on_seed_deltas,0.054461015426507414,False
ag_news,32,adaptive_001_minus_constant_01,adaptive_001,constant_01,10,-0.029524456672905076,0.02386094676845582,-3.912859396206562,0.003549286608914096,scipy.stats.ttest_1samp_on_seed_deltas,0.08873216522285239,False
ag_news,32,constant_001_minus_constant_01,constant_001,constant_01,10,-0.029586116767851455,0.023946318727989316,-3.907052151475543,0.003580774844421175,scipy.stats.ttest_1samp_on_seed_deltas,0.08873216522285239,False
ag_news,32,adaptive_001_minus_adaptive_01,adaptive_001,adaptive_01,10,-0.029541618393265724,0.02401885274638498,-3.889394754889104,0.003678346632388898,scipy.stats.ttest_1samp_on_seed_deltas,0.08873216522285239,False
