dataset,train_per_class,schedule,schedule_family,learning_rate,eta0,seed_count,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_log_loss,mean_fit_seconds,mean_n_iter,convergence_warning_count
ag_news,16,adaptive_001,adaptive,adaptive,0.001,10,0.49735000000000007,0.028960749299698735,0.4856379421723931,0.0284012973626786,1.3855396346389965,0.008399269800020193,31.0,0
ag_news,16,adaptive_01,adaptive,adaptive,0.01,10,0.50795,0.028537937712611417,0.5024019066384421,0.028064909018842395,1.2430081500750816,0.007095825700071145,197.2,0
ag_news,16,constant_001,constant,constant,0.001,10,0.4973000000000001,0.02897623547361222,0.4855604064452363,0.02840807030850858,1.3856700753575106,0.004450546300063252,6.0,0
ag_news,16,constant_01,constant,constant,0.01,10,0.5081,0.028586904538811332,0.502554105575508,0.028089355625155566,1.2436757610790332,0.006614448200002699,167.2,0
ag_news,16,invscaling_001,invscaling,invscaling,0.001,10,0.4768,0.043321280375045866,0.456341422830122,0.058678829428188396,1.3862332370443584,0.004444392899972627,6.0,0
ag_news,16,invscaling_01,invscaling,invscaling,0.01,10,0.47795000000000004,0.043881437482784856,0.4582676457032668,0.056330002801738846,1.3856313373426585,0.0077718673972412946,7.0,0
ag_news,16,optimal_builtin,optimal,optimal,0.001,10,0.48405000000000004,0.022469052791191112,0.4821796760707343,0.02332800406211531,2.1618292099658953,0.004435946599960517,9.3,0
ag_news,32,adaptive_001,adaptive,adaptive,0.001,10,0.6034499999999999,0.0241643102299422,0.5950281334317671,0.028107720808937794,1.38497387603673,0.007670152899981986,31.0,0
ag_news,32,adaptive_01,adaptive,adaptive,0.01,10,0.62085,0.01628914089542818,0.6166468926103436,0.01733679200119969,1.1405183038335234,0.01250131789995521,196.5,0
ag_news,32,constant_001,constant,constant,0.001,10,0.6032499999999998,0.02432334269791059,0.5948302847078974,0.028286604080106918,1.3852024495976125,0.0068792425000310685,6.0,0
ag_news,32,constant_01,constant,constant,0.01,10,0.62085,0.01631299754456206,0.6166618002959933,0.017360677266286456,1.1416151158576284,0.011575192800000878,166.5,0
ag_news,32,invscaling_001,invscaling,invscaling,0.001,10,0.5854999999999999,0.025635262172770287,0.5767276006708297,0.027709078344175922,1.3862181870083217,0.00684298369994849,6.0,0
ag_news,32,invscaling_01,invscaling,invscaling,0.01,10,0.5722,0.028140717830218882,0.5605128761006644,0.031540260782269125,1.3855084421075268,0.006715649101533927,6.8,0
ag_news,32,optimal_builtin,optimal,optimal,0.001,10,0.59695,0.018326438097277208,0.593847349690703,0.017817596718205826,1.4992544834951667,0.006928448799999387,9.4,0
ag_news,64,adaptive_001,adaptive,adaptive,0.001,10,0.45895,0.09980187317324703,0.4104236208680326,0.11640289286096685,1.376120023054703,0.015106242199954068,64.2,0
ag_news,64,adaptive_01,adaptive,adaptive,0.01,10,0.72075,0.01139992690035044,0.7181223190240269,0.011573934913844954,1.0117084892691883,0.024065150999945217,192.9,0
ag_news,64,constant_001,constant,constant,0.001,10,0.4499000000000001,0.10330504989270047,0.3973995234484578,0.1226235746778554,1.3765241461495052,0.013626049599974977,39.2,0
ag_news,64,constant_01,constant,constant,0.01,10,0.72075,0.011294664423719928,0.7181220735974725,0.011463880434727328,1.0132133075802745,0.02199379499998031,162.9,0
ag_news,64,invscaling_001,invscaling,invscaling,0.001,10,0.6882999999999999,0.024735489573575145,0.6829609791936069,0.02593341491069867,1.3862032046890824,0.011987091900050473,6.0,0
ag_news,64,invscaling_01,invscaling,invscaling,0.01,10,0.68875,0.024835290750596557,0.6833968428155767,0.026020998352152734,1.385379778451965,0.01152435429394245,6.0,0
ag_news,64,optimal_builtin,optimal,optimal,0.001,10,0.69875,0.0157942500085738,0.6972352301063004,0.01582190773096938,0.9995628784578171,0.012077147099967078,9.1,0
ag_news,128,adaptive_001,adaptive,adaptive,0.001,10,0.75605,0.01631878603872782,0.7517415627275579,0.01730767265602737,1.345968131123986,0.035694275899959396,102.0,0
ag_news,128,adaptive_01,adaptive,adaptive,0.01,10,0.7888499999999999,0.008778287608260124,0.7870764416261762,0.008774460073067482,0.8785203650273088,0.048346932400022524,184.3,0
ag_news,128,constant_001,constant,constant,0.001,10,0.7554000000000001,0.01636187981593531,0.751132957162232,0.017262427420591694,1.3466881283404963,0.032111008800006856,77.0,0
ag_news,128,constant_01,constant,constant,0.01,10,0.78875,0.00891394039318939,0.7869721484540857,0.008904947202224858,0.8803059460668529,0.04414068530002169,154.3,0
ag_news,128,invscaling_001,invscaling,invscaling,0.001,10,0.75245,0.016803521456329705,0.7481716027146078,0.017869816123452044,1.3861882836607624,0.0222469503999946,6.0,0
ag_news,128,invscaling_01,invscaling,invscaling,0.01,10,0.7528499999999999,0.016661749274577652,0.7486062971454357,0.017674590081450947,1.3852296654109266,0.021775396598968655,6.0,0
ag_news,128,optimal_builtin,optimal,optimal,0.001,10,0.77545,0.008207212275391297,0.7743671630746873,0.008213074277304971,0.6800856381173571,0.023022658599984425,9.4,0
