dataset,train_per_class,schedule_count,seed_count,macro_f1_range,accuracy_range,log_loss_range,runtime_ratio,n_iter_range,best_schedule,best_schedule_family,best_macro_f1,worst_schedule,worst_schedule_family,worst_macro_f1,fastest_schedule,fastest_fit_seconds,interpretable
ag_news,16,7,10,0.046212682745385925,0.031299999999999994,0.9188210598908138,1.8934560213359992,191.2,constant_01,constant,0.502554105575508,invscaling_001,invscaling,0.456341422830122,optimal_builtin,0.004435946599960517,True
ag_news,32,7,10,0.05614892419532891,0.04864999999999997,0.3587361796616433,1.861520414623774,190.5,constant_01,constant,0.6166618002959933,invscaling_01,invscaling,0.5605128761006644,invscaling_01,0.006715649101533927,True
ag_news,64,7,10,0.3207227955755691,0.2708499999999999,0.3866403262312653,2.0881995108909996,186.9,adaptive_01,adaptive,0.7181223190240269,constant_001,constant,0.3973995234484578,invscaling_01,0.01152435429394245,True
ag_news,128,7,10,0.038904838911568373,0.03639999999999999,0.7061026455434053,2.220254964371688,178.3,adaptive_01,adaptive,0.7870764416261762,invscaling_001,invscaling,0.7481716027146078,invscaling_01,0.021775396598968655,True
