dataset,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,power_t,n_iter,t_,final_learning_rate,final_learning_rate_note,test_log_loss,test_macro_f1,convergence_warning_count,max_iter,tol,alpha,class_weight
wine,4,12,166,52,invscaling_0003,invscaling,invscaling,0.0003,0.5,7,85.0,3.253956867279842e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0941572055757074,0.8621698621698622,0,1000,0.001,0.0001,balanced
wine,4,12,166,88,invscaling_0003,invscaling,invscaling,0.0003,0.5,7,85.0,3.253956867279842e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0944171195795933,0.8425638371290546,0,1000,0.001,0.0001,balanced
wine,4,12,166,121,invscaling_0003,invscaling,invscaling,0.0003,0.5,7,85.0,3.253956867279842e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0937741751082661,0.8502915232320322,0,1000,0.001,0.0001,balanced
wine,4,12,166,169,invscaling_0003,invscaling,invscaling,0.0003,0.5,7,85.0,3.253956867279842e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0938917914656228,0.8810428057326537,0,1000,0.001,0.0001,balanced
wine,4,12,166,203,invscaling_0003,invscaling,invscaling,0.0003,0.5,7,85.0,3.253956867279842e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0935634233514029,0.9075226210179156,0,1000,0.001,0.0001,balanced
wine,4,12,166,247,invscaling_0003,invscaling,invscaling,0.0003,0.5,7,85.0,3.253956867279842e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0934110849723104,0.8796961973956154,0,1000,0.001,0.0001,balanced
wine,4,12,166,314,invscaling_0003,invscaling,invscaling,0.0003,0.5,7,85.0,3.253956867279842e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0936847831561587,0.8862040809081307,0,1000,0.001,0.0001,balanced
wine,4,12,166,415,invscaling_0003,invscaling,invscaling,0.0003,0.5,7,85.0,3.253956867279842e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0937761773680852,0.9229677121359906,0,1000,0.001,0.0001,balanced
wine,4,12,166,509,invscaling_0003,invscaling,invscaling,0.0003,0.5,7,85.0,3.253956867279842e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.09337245089106,0.905353126405758,0,1000,0.001,0.0001,balanced
wine,4,12,166,14,invscaling_001,invscaling,invscaling,0.001,0.5,16,193.0,7.198157507486945e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.075971890310619,0.8664811909906177,0,1000,0.001,0.0001,balanced
wine,4,12,166,52,invscaling_001,invscaling,invscaling,0.001,0.5,16,193.0,7.198157507486945e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0772964571408599,0.8676424150562081,0,1000,0.001,0.0001,balanced
wine,4,12,166,88,invscaling_001,invscaling,invscaling,0.001,0.5,17,205.0,6.984302957695781e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0784201096090194,0.8425638371290546,0,1000,0.001,0.0001,balanced
wine,4,12,166,121,invscaling_001,invscaling,invscaling,0.001,0.5,15,181.0,7.432941462471664e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0756657282787319,0.8502915232320322,0,1000,0.001,0.0001,balanced
wine,4,12,166,169,invscaling_001,invscaling,invscaling,0.001,0.5,21,253.0,6.286946134619315e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0737554978489443,0.8622209117565154,0,1000,0.001,0.0001,balanced
wine,4,12,166,203,invscaling_001,invscaling,invscaling,0.001,0.5,19,229.0,6.608186004550898e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0734452568211788,0.8951243628120374,0,1000,0.001,0.0001,balanced
wine,4,12,166,247,invscaling_001,invscaling,invscaling,0.001,0.5,20,241.0,6.441566264008309e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0718698314851298,0.8682429702804266,0,1000,0.001,0.0001,balanced
wine,4,12,166,314,invscaling_001,invscaling,invscaling,0.001,0.5,19,229.0,6.608186004550898e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0748031277505694,0.8862040809081307,0,1000,0.001,0.0001,balanced
wine,4,12,166,415,invscaling_001,invscaling,invscaling,0.001,0.5,17,205.0,6.984302957695781e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0748331147317711,0.9044256120527306,0,1000,0.001,0.0001,balanced
wine,4,12,166,509,invscaling_001,invscaling,invscaling,0.001,0.5,17,205.0,6.984302957695781e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0730412855803255,0.8925836816803093,0,1000,0.001,0.0001,balanced
wine,4,12,166,14,invscaling_003,invscaling,invscaling,0.003,0.5,57,685.0,0.00011462410798513051,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",0.9819015096294478,0.8664811909906177,0,1000,0.001,0.0001,balanced
wine,4,12,166,52,invscaling_003,invscaling,invscaling,0.003,0.5,59,709.0,0.00011266736492830196,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",0.9859534977895467,0.8730991209636842,0,1000,0.001,0.0001,balanced
wine,4,12,166,88,invscaling_003,invscaling,invscaling,0.003,0.5,63,757.0,0.0001090368546277221,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",0.9929156815873581,0.8479681652095445,0,1000,0.001,0.0001,balanced
wine,4,12,166,121,invscaling_003,invscaling,invscaling,0.003,0.5,55,661.0,0.0001166864762376621,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",0.9812086195355912,0.8502915232320322,0,1000,0.001,0.0001,balanced
wine,4,12,166,169,invscaling_003,invscaling,invscaling,0.003,0.5,70,841.0,0.00010344827586206896,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",0.9744387250567125,0.8746168251052614,0,1000,0.001,0.0001,balanced
wine,4,12,166,203,invscaling_003,invscaling,invscaling,0.003,0.5,64,769.0,0.00010818276689619283,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",0.9734745432715863,0.900858919367645,0,1000,0.001,0.0001,balanced
wine,4,12,166,247,invscaling_003,invscaling,invscaling,0.003,0.5,67,805.0,0.0001057361065275362,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",0.9671731593620237,0.8682429702804266,0,1000,0.001,0.0001,balanced
wine,4,12,166,314,invscaling_003,invscaling,invscaling,0.003,0.5,67,805.0,0.0001057361065275362,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",0.9837846701644205,0.8862040809081307,0,1000,0.001,0.0001,balanced
wine,4,12,166,415,invscaling_003,invscaling,invscaling,0.003,0.5,60,721.0,0.0001117258384085788,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",0.9755644093613215,0.9044256120527306,0,1000,0.001,0.0001,balanced
wine,4,12,166,509,invscaling_003,invscaling,invscaling,0.003,0.5,60,721.0,0.0001117258384085788,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",0.9678109316782202,0.8871152442491393,0,1000,0.001,0.0001,balanced
wine,4,12,166,14,adaptive_0003,adaptive,adaptive,0.0003,0.5,192,2305.0,0.0003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.7533006113225904,0.8788399872623729,0,1000,0.001,0.0001,balanced
