dataset,train_per_class,comparison,left_schedule,right_schedule,n_pairs,mean_delta_macro_f1,std_delta_macro_f1,paired_t_statistic,p_value,p_value_method,holm_p,holm_significant_0_05
ag_news,128,ag_news|budget=128|adaptive_001_minus_constant_01,adaptive_001,constant_01,10,-0.035230585726527784,0.017867582409267686,-6.23525285322649,0.00015229485892902643,scipy.stats.ttest_1samp_on_seed_deltas,0.00944713792541022,True
ag_news,128,ag_news|budget=128|optimal_builtin_minus_constant_01,optimal_builtin,constant_01,10,-0.012604985379398404,0.006453856715912215,-6.1762238343072,0.00016347160155334356,scipy.stats.ttest_1samp_on_seed_deltas,0.009971767694753957,True
ag_news,32,ag_news|budget=32|adaptive_01_minus_invscaling_01,adaptive_01,invscaling_01,10,0.0561340165096792,0.02909808030103418,6.100448708218478,0.00017914696499783425,scipy.stats.ttest_1samp_on_seed_deltas,0.010674568574618576,True
ag_news,32,ag_news|budget=32|constant_01_minus_invscaling_01,constant_01,invscaling_01,10,0.05614892419532891,0.029078567602173266,6.106163517218987,0.00017790947624364293,scipy.stats.ttest_1samp_on_seed_deltas,0.010674568574618576,True
ag_news,64,ag_news|budget=64|optimal_builtin_minus_adaptive_01,optimal_builtin,adaptive_01,10,-0.02088708891772657,0.01107052334186372,-5.966364247722875,0.00021104286310735302,scipy.stats.ttest_1samp_on_seed_deltas,0.012040409534574456,True
ag_news,64,ag_news|budget=64|optimal_builtin_minus_constant_01,optimal_builtin,constant_01,10,-0.02088684349117208,0.011045586411875455,-5.97976387134633,0.00020759326783749063,scipy.stats.ttest_1samp_on_seed_deltas,0.012040409534574456,True
ag_news,32,ag_news|budget=32|invscaling_001_minus_adaptive_01,invscaling_001,adaptive_01,10,-0.03991929193951369,0.021587682555563474,-5.847588539675414,0.00024449257721062615,scipy.stats.ttest_1samp_on_seed_deltas,0.013691584323795065,True
ag_news,32,ag_news|budget=32|invscaling_001_minus_constant_01,invscaling_001,constant_01,10,-0.039934199625163404,0.021604685818012913,-5.84516842388285,0.0002452313814802502,scipy.stats.ttest_1samp_on_seed_deltas,0.013691584323795065,True
ag_news,32,ag_news|budget=32|optimal_builtin_minus_constant_01,optimal_builtin,constant_01,10,-0.02281445060529027,0.012578580232186675,-5.735593854504715,0.00028136024164419985,scipy.stats.ttest_1samp_on_seed_deltas,0.015193453048786791,True
ag_news,32,ag_news|budget=32|optimal_builtin_minus_adaptive_01,optimal_builtin,adaptive_01,10,-0.022799542919640557,0.012616130676659551,-5.714785863007517,0.00028885282368831377,scipy.stats.ttest_1samp_on_seed_deltas,0.01530919965548063,True
ag_news,128,ag_news|budget=128|invscaling_001_minus_optimal_builtin,invscaling_001,optimal_builtin,10,-0.026195560360079584,0.016011141849028708,-5.173749386730793,0.0005842208378079406,scipy.stats.ttest_1samp_on_seed_deltas,0.030205376475256274,True
ag_news,128,ag_news|budget=128|optimal_builtin_minus_invscaling_01,optimal_builtin,invscaling_01,10,0.025760865929251697,0.015732403334356628,5.178039813965702,0.0005808726245241591,scipy.stats.ttest_1samp_on_seed_deltas,0.030205376475256274,True
ag_news,32,ag_news|budget=32|adaptive_001_minus_invscaling_01,adaptive_001,invscaling_01,10,0.0345152573311028,0.02117415338136651,5.154719776855856,0.0005993245532028177,scipy.stats.ttest_1samp_on_seed_deltas,0.030205376475256274,True
ag_news,32,ag_news|budget=32|constant_001_minus_invscaling_01,constant_001,invscaling_01,10,0.03431740860723319,0.021342091556728202,5.084842519069398,0.0006585059171994879,scipy.stats.ttest_1samp_on_seed_deltas,0.032266789942774904,True
ag_news,64,ag_news|budget=64|constant_001_minus_adaptive_001,constant_001,adaptive_001,10,-0.013024097419574743,0.009349129778292647,-4.40530972298678,0.0017071695541828733,scipy.stats.ttest_1samp_on_seed_deltas,0.08194413860077793,False
ag_news,16,ag_news|budget=16|optimal_builtin_minus_constant_01,optimal_builtin,constant_01,10,-0.020374429504773566,0.015882236547636493,-4.056708453395313,0.002856018890199447,scipy.stats.ttest_1samp_on_seed_deltas,0.134232887839374,False
ag_news,16,ag_news|budget=16|optimal_builtin_minus_adaptive_01,optimal_builtin,adaptive_01,10,-0.020222230567707684,0.015895476145245675,-4.023050796258344,0.0030042295477712344,scipy.stats.ttest_1samp_on_seed_deltas,0.13819455919747678,False
ag_news,32,ag_news|budget=32|invscaling_001_minus_invscaling_01,invscaling_001,invscaling_01,10,0.016214724570165505,0.013036796782235915,3.933133432277338,0.003441634281970504,scipy.stats.ttest_1samp_on_seed_deltas,0.15487354268867268,False
ag_news,64,ag_news|budget=64|invscaling_001_minus_adaptive_01,invscaling_001,adaptive_01,10,-0.03516133983041998,0.029091192055753157,-3.822116303595627,0.004076670136524263,scipy.stats.ttest_1samp_on_seed_deltas,0.1793734860070676,False
ag_news,64,ag_news|budget=64|invscaling_001_minus_constant_01,invscaling_001,constant_01,10,-0.03516109440386549,0.029102477663019866,-3.8206074626320157,0.0040861094123360656,scipy.stats.ttest_1samp_on_seed_deltas,0.1793734860070676,False
ag_news,64,ag_news|budget=64|adaptive_01_minus_invscaling_01,adaptive_01,invscaling_01,10,0.034725476208450345,0.029063745137540047,3.778301699695731,0.004360391329452665,scipy.stats.ttest_1samp_on_seed_deltas,0.18313643583701192,False
ag_news,64,ag_news|budget=64|constant_01_minus_invscaling_01,constant_01,invscaling_01,10,0.034725230781895856,0.029076099495699358,3.776669616982935,0.004371354341903998,scipy.stats.ttest_1samp_on_seed_deltas,0.18313643583701192,False
ag_news,128,ag_news|budget=128|constant_001_minus_optimal_builtin,constant_001,optimal_builtin,10,-0.02323420591245512,0.019698852344240972,-3.7298117182034205,0.004698834343363191,scipy.stats.ttest_1samp_on_seed_deltas,0.18700308974068292,False
ag_news,16,ag_news|budget=16|adaptive_01_minus_invscaling_01,adaptive_01,invscaling_01,10,0.04413426093517529,0.037385827124388614,3.733093477883812,0.0046750772435170725,scipy.stats.ttest_1samp_on_seed_deltas,0.18700308974068292,False
ag_news,16,ag_news|budget=16|constant_01_minus_invscaling_01,constant_01,invscaling_01,10,0.044286459872241175,0.03760334667470521,3.7242983693293708,0.004739033066292958,scipy.stats.ttest_1samp_on_seed_deltas,0.18700308974068292,False
ag_news,128,ag_news|budget=128|adaptive_001_minus_optimal_builtin,adaptive_001,optimal_builtin,10,-0.022625600347129383,0.01973913023175047,-3.624700262149304,0.00553109406442104,scipy.stats.ttest_1samp_on_seed_deltas,0.2042057409942503,False
ag_news,64,ag_news|budget=64|invscaling_001_minus_invscaling_01,invscaling_001,invscaling_01,10,-0.00043586362196963436,0.0003801117032397653,-3.6260967049605366,0.005519074080925683,scipy.stats.ttest_1samp_on_seed_deltas,0.2042057409942503,False
